,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size
849,DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Lig...,"₹48,990","₹58,567",4.3,345 Ratings & 30 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 Inch) Display
850,DELL Inspiron 3511 Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 3511 Laptop,"₹47,890","₹60,371",0,0,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
851,DELL Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10) Inspiron 3511 Thin and Light Laptop,"₹47,590","₹59,101",2.9,97 Ratings & 7 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 Inch) Display
852,HP 14s Ryzen 5 Quad Core 3500U 3rd Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14s-dk0093AU Thin ...,"₹46,949","₹49,209",4.5,"2,122 Ratings & 321 Reviews",8 GB DDR4 RAM,1 TB HDD|256 GB SSD,AMD Ryzen 5 Quad Core Processor (3rd Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display
853,DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10) Inspiron 3511 Thin and Light La...,"₹46,390","₹55,534",4.1,758 Ratings & 97 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
854,DELL Inspiron Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10) Inspiron 3511 Thin and Light La...,"₹45,290","₹60,490",4.1,947 Ratings & 106 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
855,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 300...","₹45,190","₹57,479",4.3,"1,054 Ratings & 136 Reviews",8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 Inch) Display
856,HP 15 Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-dc0082TX Laptop,"₹1,16,941",0,0,0,8 GB DDR4 RAM,1 TB HDD|128 GB SSD,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
857,HP Omen Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,"₹1,02,551",0,0,0,8 GB DDR4 RAM,1 TB HDD|128 GB SSD,Intel Core i5 Processor (7th Gen),"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)","Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
858,Lenovo Thinkpad E14 Core i5 10th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home) E14 Thin and Light L...,"₹59,949","₹67,306",4.5,46 Ratings & 3 Reviews,8 GB DDR4 RAM,1 TB HDD|128 GB SSD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display
